Section,Question,Supplier response
Company,Company and contact name,
Engineering,Can you complete and return editable KiCad sources?,
Engineering,Engineering price in USD,
Engineering,Engineering lead time in working days,
Engineering,Number of included review rounds,
Engineering,Will you provide zero-error DRC and final DFM reports?,
PCB,Main PCB stack-up and finished thickness recommendation,
PCB,Tip PCB finished thickness recommendation,
PCB,Price for 10 main PCBs plus 40 tip PCBs,
Components,Component cost for 10 complete sets,
Components,Unavailable or high-risk MPNs and proposed alternates,
Assembly,SMT assembly price including tooling and stencil,
Assembly,AOI included?,
Assembly,X-ray required or recommended?,
Prototype,First article price,
Prototype,First article lead time in working days,
Production,Remaining 9 sets lead time after approval,
Testing,Programming service available and price?,
Testing,Functional test service available and price?,
Files,Will final Gerber BOM CPL and assembly drawings be returned?,
Logistics,Shipping method and estimated price to Moscow Russia,
Commercial,Payment terms and quotation validity,
Risks,DFM RF thermal sourcing or mechanical concerns,
